Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
09/13/2023,118,0,118,87,0,0,0,5,0,5,0,0,0,0,0,0,0.04237288136,0,0.04237288136
09/14/2023,161,0,161,80,10,0,10,1,0,1,0,0,0,0,0,0,0.06832298137,0,0.06832298137
09/15/2023,291,0,291,206,0,0,0,7,0,7,0,0,0,0,0,0,0.02405498282,0,0.02405498282
09/16/2023,88,0,88,70,1,0,1,2,0,2,0,0,0,0,0,0,0.03409090909,0,0.03409090909
09/17/2023,90,0,90,63,1,0,1,2,0,2,0,0,0,0,0,0,0.03333333333,0,0.03333333333
09/18/2023,1036,0,1036,506,16,0,16,25,0,25,0,0,0,2,0,2,0.04150579151,0,0.04150579151
09/19/2023,201,0,201,118,2,0,2,3,0,3,0,0,0,0,0,0,0.02487562189,0,0.02487562189
09/20/2023,180,0,180,97,0,0,0,6,0,6,0,0,0,0,0,0,0.03333333333,0,0.03333333333
09/21/2023,77,0,77,56,0,0,0,2,0,2,0,0,0,0,0,0,0.02597402597,0,0.02597402597
09/22/2023,252,0,252,75,2,0,2,1,0,1,0,0,0,0,0,0,0.0119047619,0,0.0119047619
09/23/2023,70,0,70,54,1,0,1,0,0,0,0,0,0,0,0,0,0.01428571429,0,0.01428571429
09/24/2023,112,0,112,83,0,0,0,1,0,1,0,0,0,0,0,0,0.008928571429,0,0.008928571429
09/25/2023,219,0,219,75,3,0,3,3,0,3,0,0,0,0,0,0,0.02739726027,0,0.02739726027
09/26/2023,103,0,103,51,4,0,4,1,0,1,0,0,0,0,0,0,0.04854368932,0,0.04854368932
09/27/2023,1225,0,1225,775,16,0,16,31,0,31,2,0,2,1,0,1,0.04081632653,0,0.04081632653
09/28/2023,473,0,473,281,6,0,6,6,0,6,1,0,1,0,0,0,0.02748414376,0,0.02748414376
09/29/2023,212,0,212,125,6,0,6,3,0,3,0,0,0,0,0,0,0.04245283019,0,0.04245283019
09/30/2023,108,0,108,92,1,0,1,2,0,2,0,0,0,0,0,0,0.02777777778,0,0.02777777778
10/01/2023,139,0,139,106,1,0,1,4,0,4,0,0,0,0,0,0,0.03597122302,0,0.03597122302
10/02/2023,153,0,153,94,2,0,2,1,0,1,0,0,0,0,0,0,0.01960784314,0,0.01960784314
10/03/2023,99,0,99,61,0,0,0,2,0,2,0,0,0,0,0,0,0.0202020202,0,0.0202020202
10/04/2023,540,0,540,332,9,0,9,15,0,15,0,0,0,1,0,1,0.0462962963,0,0.0462962963
10/05/2023,305,0,305,163,2,0,2,6,0,6,0,0,0,0,0,0,0.0262295082,0,0.0262295082
10/06/2023,185,0,185,101,3,0,3,3,0,3,0,0,0,0,0,0,0.03243243243,0,0.03243243243
10/07/2023,81,0,81,60,1,0,1,0,0,0,0,0,0,0,0,0,0.01234567901,0,0.01234567901
10/08/2023,64,0,64,40,0,0,0,1,0,1,0,0,0,0,0,0,0.015625,0,0.015625
10/09/2023,381,0,381,240,0,0,0,5,0,5,0,0,0,0,0,0,0.01312335958,0,0.01312335958
