"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
2,0,17,2022,28,,202228,"[31161110,31173071]",7,8,6,
7,0,18,2022,29,,202229,"[30684139,31222926,30744631,31197555,31204254,24265730,31214925]",7,26,15,
1,0,19,2022,29,,202229,"[31433172]",7,3,2,
4,0,20,2022,29,,202229,"[31521792,31532987,25873105]",7,7,4,
5,0,21,2022,29,,202229,"[31555948,24637187,31592130,31559237,31571245]",7,26,17,
7,0,22,2022,29,,202229,"[21270817,2635331,31612962,30752275,31614168,20708059,31629177]",7,38,22,
1,0,23,2022,29,,202229,"[31656058]",7,7,6,
6,0,24,2022,29,,202229,"[31665788,31675030,31668594,31665299,3008567]",7,23,10,
5,0,25,2022,30,,202230,"[16701135,31714987,117398,11304162,30816397]",7,27,12,
4,0,26,2022,30,,202230,"[31774538,13496344,31771941,31768690]",7,16,8,
3,0,27,2022,30,,202230,"[16652424,31822513,31793269]",7,14,8,
3,0,28,2022,30,,202230,"[31858599,31829447,2042066]",7,13,8,
0,0,29,2022,30,,202230,"[]",7,6,3,
1,0,30,2022,30,,202230,"[31905000]",7,6,4,
1,0,31,2022,30,,202230,"[31933306]",7,7,4,
4,0,1,2022,31,,202231,"[30079295]",8,21,8,
3,0,2,2022,31,,202231,"[32035840,32010624,31741096]",8,17,10,
3,0,3,2022,31,,202231,"[32075615,2953691,3817756]",8,18,9,
3,0,4,2022,31,,202231,"[21616730,32104249,32118629]",8,13,6,
4,0,5,2022,31,,202231,"[29561410,32151800,32156042]",8,23,7,
1,0,6,2022,31,,202231,"[32198321]",8,10,3,
1,0,7,2022,31,,202231,"[32226314]",8,3,1,
2,0,8,2022,32,,202232,"[32299858,32262949]",8,12,8,
4,0,9,2022,32,,202232,"[32370772,32339622,32357724,32346968]",8,17,11,
2,0,10,2022,32,,202232,"[16552557,32396817]",8,20,8,
3,0,11,2022,32,,202232,"[32445478,31360066,32446452]",8,14,9,
3,0,12,2022,32,,202232,"[32489006,32508316,20108869]",8,15,9,
4,0,13,2022,32,,202232,"[32545646,32551472,32542895,32538119]",8,22,10,
2,0,14,2022,32,,202232,"[32511470,32556287]",8,6,4,
0,0,15,2022,33,,202233,"[]",8,9,6,
6,0,16,2022,33,,202233,"[32689082,32655976,32662708,32667463,17059575,4955704]",8,28,20,
5,0,17,2022,33,,202233,"[32706425,32732894,32738298,4769264,32714800]",8,19,9,
3,0,18,2022,33,,202233,"[32794758,32776716,32761413]",8,20,16,
3,0,19,2022,33,,202233,"[32836068,30810196,12122033]",8,17,10,
2,0,20,2022,33,,202233,"[32851296,32858707]",8,10,6,
4,0,21,2022,33,,202233,"[28542958,32884757,17939273,32885124]",8,11,5,
1,0,22,2022,34,,202234,"[223471]",8,38,29,
